customer name,customer e-mail,country,gender,age,annual Salary,credit card debt,net worth,car purchase amount
Martina Avila,cubilia.Curae.Phasellus@quisaccumsanconvallis.edu,Bulgaria,0,42,62812,11609,238961,35321
Harlan Barnes,eu.dolor@diam.co.uk,Belize,0,41,66647,9573,530974,45116
Naomi Rodriquez,vulputate.mauris.sagittis@ametconsectetueradipiscing.co.uk,Algeria,1,43,53799,11160,638467,42926
Jade Cunningham,malesuada@dignissim.com,Cook Islands,1,58,79370,14426,548599,67422
Cedric Leach,felis.ullamcorper.viverra@egetmollislectus.net,Brazil,1,57,59729,5359,560304,55915
Carla Hester,mi@Aliquamerat.edu,Liberia,1,57,68500,14179,428485,56612
Griffin Rivera,vehicula@at.co.uk,Syria,1,47,39815,5958,326373,28926
Orli Casey,nunc.est.mollis@Suspendissetristiqueneque.co.uk,Czech Republic,1,50,51752,10986,629312,47435
Marny Obrien,Phasellus@sedsemegestas.org,Armenia,0,47,58139,3441,630059,48014
Rhonda Chavez,nec@nuncest.com,Somalia,1,43,53457,12884,476643,38190
Jerome Rowe,ipsum.cursus@dui.org,Sint Maarten,1,50,73349,8271,612739,59046
Akeem Gibson,turpis.egestas.Fusce@purus.edu,Greenland,1,53,55422,10015,293863,42289
Quin Smith,nulla@ipsum.edu,Nicaragua,0,44,37336,10218,430907,28700
Tatum Moon,Cras.sed.leo@Seddiamlorem.ca,"Palestine, State of",0,48,68304,9467,420322,49259
Sharon Sharpe,eget.metus@aaliquetvel.co.uk,United Arab Emirates,0,55,72776,10598,146345,49510
Thomas Williams,aliquet.molestie@ut.org,Gabon,1,53,64662,11326,481433,53017
Blaine Bender,ultrices.posuere.cubilia@pedenonummyut.net,Tokelau,0,45,63260,11496,370356,41815
Stephen Lindsey,erat.eget.ipsum@tinciduntpede.org,Portugal,1,48,52682,12515,549444,43902
Sloane Mann,at.augue@augue.net,Chad,1,52,54503,7378,431099,44634
Athena Wolf,volutpat.Nulla.facilisis@primis.ca,Iraq,0,59,55368,13273,566022,54828
Blythe Romero,Sed.eu@risusNuncac.co.uk,Sudan,1,52,63436,11878,480588,51131
Zelenia Byers,auctor.non@sapien.co.uk,Angola,0,48,64347,10905,307226,43402
Nola Wiggins,Aliquam@augue.edu,Nigeria,1,46,65177,7699,497526,47241
Micah Wheeler,arcu.eu@tincidunt.org,Madagascar,1,47,52028,11961,688466,46635
Caryn Hendrix,condimentum.Donec@duiCum.com,Macedonia,0,40,69612,8126,499086,45078
Hedda Miranda,scelerisque@magnased.com,Oman,0,53,53066,17806,429440,44388
Ulric Lynn,sociis@vulputateveliteu.com,Colombia,0,28,82843,13102,315775,37162
Alma Pope,Nunc.mauris.Morbi@turpis.org,Namibia,0,56,61389,14270,341692,49092
Gemma Hendrix,lobortis@non.co.uk,Denmark,1,46,100000,17453,188032,58350
Castor Wood,velit.Pellentesque@Nulla.net,Dominican Republic,1,40,62892,12523,583231,43994
Herman Stevenson,sociosqu.ad.litora@erat.com,Costa Rica,1,33,39627,9372,319838,17585
Adrienne Bolton,dictum@magnaPraesent.ca,Botswana,1,40,68860,13417,486069,44650
Dahlia Cleveland,tincidunt.tempus@idsapien.co.uk,Saint Pierre and Miquelon,1,51,82358,8092,655934,66364
Keane Browning,Curabitur@acipsumPhasellus.co.uk,France,0,51,67904,11417,487436,53489
Quon Hull,nascetur.ridiculus.mus@dignissim.co.uk,Senegal,0,46,65312,7989,215674,39810
Coby Charles,nec@dolornonummyac.com,Cambodia,0,51,59593,12253,612243,51612
Amery Cortez,semper.et.lacinia@Morbiquisurna.ca,Suriname,1,50,47461,7406,430625,38979
Uriel Bradshaw,ultrices@Integersemelit.com,Turkey,1,22,43132,10917,326743,10092
Fredericka Sanders,Curabitur@Infaucibus.ca,Ethiopia,0,51,52264,8839,213041,35929
Christopher Stevens,blandit.enim@lacusvariuset.org,French Guiana,1,48,80960,4500,379750,54823
